City,State,population,Lon,Lat,pop weight
Henderson,Nevada,260068,-115.0375,36.0122,0.012911634
Manchester,New Hampshire,109830,-71.4439,42.9847,0.005452746
Elizabeth,New Jersey,125660,-74.1935,40.6663,0.00623866
Newark,New Jersey,277540,-74.1726,40.7242,0.013779069
Paterson,New Jersey,146427,-74.1628,40.9147,0.007269683
Jersey City,New Jersey,250323,-74.0648,40.7114,0.012427822
Albuquerque,New Mexico,552804,-106.6474,35.1056,0.027445141
Buffalo,New York,261025,-78.8597,42.8925,0.012959146
Rochester,New York,210855,-77.6169,43.1699,0.010468349
Syracuse,New York,145151,-76.1436,43.041,0.007206333
New York,New York,8244910,-73.9385,40.6643,0.409336245
Yonkers,New York,197399,-73.8674,40.9459,0.009800297
Charlotte,North Carolina,751087,-80.8307,35.2087,0.037289325
Winston–Salem,North Carolina,232385,-80.2606,36.1033,0.011537252
High Point,North Carolina,105753,-79.9902,35.9855,0.005250335
Greensboro,North Carolina,273425,-79.8271,36.0965,0.013574771
Fayetteville,North Carolina,203945,-78.9803,35.0851,0.010125287
Durham,North Carolina,233252,-78.9056,35.981,0.011580296
Cary,North Carolina,139633,-78.8141,35.7821,0.00693238
Raleigh,North Carolina,416468,-78.6414,35.8302,0.020676447
Wilmington,North Carolina,108297,-77.8858,34.2092,0.005376637
Fargo,North Dakota,107349,-96.829,46.8652,0.005329571
Cincinnati,Ohio,296223,-84.5064,39.1399,0.014706626
Dayton,Ohio,142148,-84.1996,39.7774,0.007057242
Toledo,Ohio,286038,-83.5819,41.6641,0.01420097
Columbus,Ohio,797434,-82.985,39.9848,0.039590322
Cleveland,Ohio,393806,-81.6795,41.4781,0.019551344
Akron,Ohio,198402,-81.5214,41.0805,0.009850093
Oklahoma City,Oklahoma,591967,-97.5137,35.4671,0.029389472
Norman,Oklahoma,113273,-97.3453,35.2406,0.005623681
Tulsa,Oklahoma,396466,-95.9023,36.1279,0.019683405
Broken Arrow,Oklahoma,100073,-95.781,36.0365,0.004968339
Eugene,Oregon,156929,-123.1162,44.0567,0.007791077
